time, altitude, axis Z angle, vertical acc, vertical vel, horizontal acc, horizontal vel
1,29956.69554,148.3,-0.203676654,-43.2026175,-1.110091512,1698.889908
2,29913.16905,147.3,0.870762877,-43.41816373,-0.815405804,1697.714786
3,29871.05718,147.3,0.870349105,-42.54703631,-0.815746322,1696.89904
4,29829.81583,148.3,-0.21840362,-41.67632235,-1.176103929,1696.082953
5,29787.81121,148.3,-0.219615951,-41.8948157,-1.176595487,1694.906358
6,29745.58627,147.3,0.868420239,-42.11452144,-0.816769585,1693.72927
7,29704.77454,147.3,0.868006385,-41.24573544,-0.817111243,1692.912159
8,29664.83097,148.3,-0.222568211,-40.37736298,-1.17807263,1692.094706
9,29624.11906,148.3,-0.223782723,-40.60002121,-1.178565836,1690.91614
10,29583.18267,147.3,0.866076125,-40.82389403,-0.818137935,1689.73708
11,29543.65805,147.3,0.865662192,-39.95745091,-0.818480739,1688.9186
12,29504.99925,148.3,-0.226740383,-39.09142142,-1.180047933,1688.099776
13,29465.56702,148.3,-0.227957083,-39.31825212,-1.180542795,1686.919233
14,29425.90613,147.3,0.86373054,-39.54629961,-0.819510878,1685.738195
15,29387.65559,147.3,0.863316529,-38.68220084,-0.819854834,1684.91834
16,29350.26852,148.3,-0.230920163,-37.81851578,-1.182029872,1684.098141
17,29312.10293,148.3,-0.23213906,-38.04952657,-1.182526397,1682.915615
18,29273.70449,147.3,0.861383486,-38.28175633,-0.820888436,1681.732591
19,29236.71497,147.3,0.860969398,-37.42000338,-0.82123355,1680.911358
20,29200.58659,148.3,-0.235107579,-36.5586642,-1.184018479,1680.089779
21,29163.67456,148.3,-0.23632868,-36.79386271,-1.184516676,1678.905262
22,29126.5255,147.3,0.859034967,-37.0302824,-0.822270634,1677.720247
23,29090.78394,147.3,0.858620805,-36.17087673,-0.822616911,1676.89763
24,29055.90116,148.3,-0.239302659,-35.3118849,-1.186013788,1676.074666
25,29020.22961,148.3,-0.240525972,-35.5512788,-1.186513667,1674.888153
26,28984.31684,147.3,0.856684986,-35.79189608,-0.823657494,1673.701139
27,28949.81014,147.3,0.856270751,-34.93483914,-0.82400494,1672.877134
28,28916.15987,148.3,-0.243505431,-34.07819611,-1.188015834,1672.052781
29,28881.71571,148.3,-0.244730964,-34.32179309,-1.188517402,1670.864264
30,28847.02612,147.3,0.854333547,-34.56661567,-0.82504904,1669.675244
31,28813.74117,147.3,0.853919242,-33.71190891,-0.825397662,1668.849847
32,28781.31031,148.3,-0.247715922,-32.85761613,-1.19002465,1668.0241
33,28748.08041,148.3,-0.248943683,-33.10542391,-1.190527916,1666.833572
34,28714.60086,147.3,0.851980653,-33.35445953,-0.826445296,1665.642541
35,28682.52454,147.3,0.851566279,-32.50210439,-0.826795099,1664.815745
36,28651.29996,148.3,-0.251934161,-31.6501633,-1.192040271,1663.9886
37,28619.27118,148.3,-0.253164159,-31.90218964,-1.192545244,1662.796055
38,28586.98854,147.3,0.849626308,-32.15544604,-0.827846286,1661.603004
39,28556.1077,147.3,0.849211867,-31.30544398,-0.828197276,1660.774807
40,28526.07624,148.3,-0.256160177,-30.45585603,-1.194062732,1659.946259
41,28495.23544,148.3,-0.257392419,-30.71210869,-1.19456942,1658.751689
42,28464.13653,147.3,0.847270516,-30.96959367,-0.829252034,1657.556613
43,28434.43802,147.3,0.84685601,-30.12194612,-0.829604218,1656.727008
44,28405.58652,148.3,-0.260393997,-29.27471276,-1.196092067,1655.897052
45,28375.92051,148.3,-0.261628492,-29.53519955,-1.196600479,1654.700451
46,28345.99216,147.3,0.84491328,-29.79692092,-0.830662564,1653.503342
47,28317.46278,147.3,0.844498712,-28.95162932,-0.831015947,1652.672326
48,28289.77807,148.3,-0.264635652,-28.10675197,-1.198128312,1651.840956
49,28261.27365,148.3,-0.265872407,-28.37148073,-1.198638457,1650.642318
50,28232.50265,147.3,0.842554605,-28.63744633,-0.832077901,1649.443169
51,28205.12921,147.3,0.842139975,-27.79451212,-0.83243249,1648.610736
52,28178.59808,148.3,-0.268885168,-26.95199221,-1.200171501,1647.777949
53,28151.24204,148.3,-0.270124193,-27.22097081,-1.200683388,1646.577266
54,28123.61517,147.3,0.840194493,-27.49118851,-0.83349807,1645.37607
55,28097.38445,147.3,0.839779805,-26.65061311,-0.833853869,1644.542216
56,28071.99368,148.3,-0.273142576,-25.81045208,-1.202221672,1643.708006
57,28045.7728,148.3,-0.274383878,-26.08368841,-1.202735309,1642.505271
58,28019.27682,147.3,0.83783295,-26.35816611,-0.834923094,1641.302021
59,27994.17558,147.3,0.837418204,-25.51995095,-0.835280112,1640.466741
60,27969.91193,148.3,-0.277407905,-24.68215021,-1.204278858,1639.631104
61,27944.81295,148.3,-0.278651492,-24.95965219,-1.204794255,1638.426309
62,27919.43461,147.3,0.835469979,-25.23839783,-0.836352999,1637.220999
63,27895.44959,147.3,0.835055178,-24.40254434,-0.836711241,1636.384288
64,27872.29981,148.3,-0.281681184,-23.56710531,-1.206343097,1635.547218
65,27848.30946,148.3,-0.282927065,-23.84888089,-1.206860263,1634.340358
66,27824.03547,147.3,0.833105583,-24.13190243,-0.837787811,1633.13298
67,27801.15341,147.3,0.83269073,-23.29841201,-0.838147283,1632.294833
68,27779.10421,148.3,-0.285962442,-22.46533611,-1.208414424,1631.456326
69,27756.20921,148.3,-0.287210626,-22.75139327,-1.208933368,1630.247393
70,27733.02628,147.3,0.830739769,-23.03869869,-0.839227554,1629.03794
71,27711.23387,147.3,0.830324865,-22.20757276,-0.839588263,1628.198351
72,27690.27196,148.3,-0.290251709,-21.3768614,-1.210492877,1627.358402
73,27668.459,148.3,-0.291502204,-21.66720816,-1.211013608,1626.147389
74,27646.35382,147.3,0.828372538,-21.95880549,-0.840672254,1624.935854
75,27625.63776,147.3,0.827957586,-21.13004546,-0.841034206,1624.09482
76,27605.74983,148.3,-0.294549015,-20.30170005,-1.212578492,1623.253423
77,27585.00558,148.3,-0.295801829,-20.59634444,-1.213101019,1622.040322
78,27563.96481,147.3,0.826003897,-20.89224172,-0.842121936,1620.826698
79,27544.31176,147.3,0.825588897,-20.06584899,-0.842485138,1619.984213
80,27525.48447,148.3,-0.29885439,-19.23987093,-1.214671306,1619.141364
81,27505.7956,148.3,-0.300109533,-19.53882102,-1.215195639,1617.926169
82,27485.80589,147.3,0.823633848,-19.83902634,-0.843576627,1616.710448
83,27467.2025,147.3,0.823218805,-19.01500232,-0.843941085,1615.866507
84,27449.42251,148.3,-0.303167864,-18.191393,-1.216771357,1615.022201
85,27430.77564,148.3,-0.304425344,-18.4946569,-1.217297505,1613.804904
86,27411.82362,147.3,0.821262397,-18.79917836,-0.845036352,1612.58708
87,27394.25651,147.3,0.820847312,-17.97752443,-0.845402073,1611.741678
88,27377.51045,148.3,-0.307489468,-17.15628526,-1.218878682,1610.89591
89,27359.8922,148.3,-0.308749292,-17.46387109,-1.219406654,1609.676503
90,27341.96448,147.3,0.818889548,-17.77271683,-0.846501138,1608.456568
91,27325.42028,147.3,0.818474423,-16.9534344,-0.846868129,1607.6097
92,27309.69474,148.3,-0.311819231,-16.13456675,-1.220993319,1606.762464
93,27293.09172,148.3,-0.31308141,-16.44648268,-1.221523125,1605.540941
94,27276.17489,147.3,0.816515306,-16.75966088,-0.847971011,1604.318888
95,27260.64019,147.3,0.816100143,-15.94275132,-0.848339277,1603.470548
96,27245.92177,148.3,-0.316157185,-15.12625658,-1.223115306,1602.621841
97,27230.32055,148.3,-0.317421727,-15.44251081,-1.223646955,1601.398194
98,27214.40118,147.3,0.814139675,-15.76002966,-0.849445997,1600.174015
99,27199.86255,147.3,0.813724476,-14.94549436,-0.849815546,1599.324199
100,27186.13783,148.3,-0.320503361,-14.13137391,-1.225244681,1598.474014
101,27171.52497,148.3,-0.321770274,-14.45197465,-1.225778184,1597.248235
102,27156.5896,147.3,0.81176266,-14.77384238,-0.850926124,1596.021923
103,27143.0336,147.3,0.811347428,-13.96168272,-0.851296962,1595.170626
104,27130.28912,148.3,-0.324857789,-13.14993794,-1.227381484,1594.318958
105,27116.65117,148.3,-0.326127082,-13.47489344,-1.22791685,1593.091041
106,27102.68635,147.3,0.809384266,-13.80111833,-0.852411418,1591.862589
107,27090.0995,147.3,0.808969003,-12.99133567,-0.852783552,1591.009805
108,27078.32181,148.3,-0.3292205,-12.18196792,-1.229525753,1590.156649
109,27065.64528,148.3,-0.330492183,-12.51128648,-1.230062991,1588.926586
110,27052.63752,147.3,0.807004497,-12.84187681,-0.853901905,1587.695985
111,27041.00634,147.3,0.806589206,-12.03447253,-0.854275342,1586.84171
112,27030.18194,148.3,-0.333591526,-11.22748318,-1.231677527,1585.987061
113,27018.45334,148.3,-0.334865608,-11.56117311,-1.232216648,1584.754844
114,27006.38913,147.3,0.804623359,-11.89613721,-0.855397615,1583.522088
115,26995.70012,147.3,0.804208042,-11.09111266,-0.855772361,1582.666316
116,26985.81551,148.3,-0.337970899,-10.28650308,-1.233836846,1581.810168
117,26975.02132,148.3,-0.339247389,-10.62457272,-1.234377859,1580.57579
118,26963.88714,147.3,0.802240857,-10.96391895,-0.856898573,1579.340871
119,26954.12677,147.3,0.801825515,-10.16127549,-0.857274636,1578.483596
120,26945.16843,148.3,-0.34235865,-9.359047021,-1.236003749,1577.625945
121,26935.29511,148.3,-0.343637556,-9.701504766,-1.236546665,1576.389399
122,26925.07741,147.3,0.799856995,-10.0452415,-0.858404808,1575.152309
123,26916.23215,147.3,0.799441632,-9.244980493,-0.858782195,1574.293526
124,26908.18653,148.3,-0.346754812,-8.44513449,-1.238178277,1573.434367
125,26899.22052,148.3,-0.348036143,-8.791988745,-1.238723105,1572.195643
126,26889.90574,147.3,0.797471779,-9.14012442,-0.859916348,1570.956375
127,26881.96202,147.3,0.797056397,-8.3422472,-0.860295065,1570.09608
128,26874.81555,148.3,-0.351159415,-7.544785005,-1.24036047,1569.235406
129,26866.74329,148.3,-0.352443181,-7.896044215,-1.24090722,1567.994499
130,26858.31784,147.3,0.795085214,-8.248587279,-0.86143322,1566.753044
131,26851.26208,147.3,0.794669815,-7.453095193,-0.861813275,1565.891231
132,26845.00118,148.3,-0.355572493,-6.658018145,-1.242550368,1565.029037
133,26837.80906,148.3,-0.356858703,-7.013690786,-1.243099051,1563.785938
134,26830.25934,147.3,0.792697306,-7.370649725,-0.862955454,1562.54229
135,26824.07794,147.3,0.792281893,-6.577544107,-0.863336853,1561.678953
136,26818.68902,148.3,-0.359994078,-5.784853541,-1.244748013,1560.815235
137,26812.36343,148.3,-0.361282741,-6.144948121,-1.245298639,1559.569936
138,26805.67581,147.3,0.790308059,-6.506331453,-0.864483076,1558.324086
139,26800.35514,147.3,0.789892635,-5.715613635,-0.864865827,1557.45922
140,26795.82457,148.3,-0.364424202,-4.925310878,-1.246953445,1556.593971
141,26790.35188,148.3,-0.365715328,-5.289835938,-1.247506025,1555.346465
142,26784.51272,147.3,0.78791748,-5.655652215,-0.866016117,1554.098406
143,26780.03915,147.3,0.787502047,-4.86732352,-0.866400227,1553.232006
144,26776.35328,148.3,-0.368862899,-4.079409895,-1.249166706,1552.365221
145,26771.71983,148.3,-0.370156497,-4.448374011,-1.24972125,1551.1155
146,26766.71547,147.3,0.785525574,-4.818631814,-0.867554604,1549.865224
147,26763.07534,147.3,0.785110134,-4.032693564,-0.867940081,1548.997284
148,26760.22051,148.3,-0.373310201,-3.247170386,-1.251387838,1548.128958
149,26756.41263,148.3,-0.37460628,-3.620582164,-1.251944356,1546.877013
150,26752.22939,147.3,0.783132346,-3.995290112,-0.869098568,1545.624512
151,26749.409,147.3,0.782716902,-3.211743619,-0.869485418,1544.755027
152,26747.37154,148.3,-0.377766141,-2.428612201,-1.253616883,1543.885154
153,26744.37553,148.3,-0.379064712,-2.806480281,-1.254175385,1542.630979
154,26740.9997,147.3,0.780737803,-3.185647024,-0.870648037,1541.376244
155,26738.98537,147.3,0.780322358,-2.404493595,-0.871036268,1540.505208
156,26737.75156,148.3,-0.382230754,-1.623755241,-1.255853883,1539.633783
157,26735.55371,148.3,-0.383531825,-2.006088298,-1.256414381,1538.377369
158,26732.97157,147.3,0.77834195,-2.389722518,-0.872203041,1537.120393
159,26731.74957,147.3,0.777926506,-1.610963457,-0.87259266,1536.247801
160,26731.30571,148.3,-0.386704072,-0.832619466,-1.258098881,1535.374818
161,26729.89228,148.3,-0.388007653,-1.219426208,-1.258661385,1534.116157
162,26728.09008,147.3,0.775944793,-1.607536622,-0.873763609,1532.856932
163,26727.64667,147.3,0.775529353,-0.831173223,-0.874154624,1531.982778
164,26727.97901,148.3,-0.391186129,-0.055224889,-1.260351919,1531.108232
165,26727.33625,148.3,-0.39249223,-0.446514056,-1.26091644,1529.847315
166,26726.30024,147.3,0.773546338,-0.839109417,-0.875329771,1528.585834
167,26726.62166,147.3,0.773130905,-0.06514297,-0.87572219,1527.710112
168,26727.71643,148.3,-0.395676959,0.70840842,-1.262613042,1526.833997
169,26727.83056,148.3,-0.39698559,0.312628053,-1.263179591,1525.570817
170,26727.54695,147.3,0.771146592,-0.084461038,-0.876901559,1524.30707
171,26728.61943,147.3,0.770731168,0.687107172,-0.877295388,1523.429775
172,26730.46284,148.3,-0.400176597,1.458260338,-1.264882292,1522.552086
173,26731.32008,148.3,-0.401487767,1.05797996,-1.26545088,1521.286635
174,26731.77507,147.3,0.76874556,0.656388319,-0.878479001,1520.020615
175,26733.58479,147.3,0.768330148,1.425557016,-0.878874248,1519.14174
176,26736.16306,148.3,-0.404685077,2.194310683,-1.267159714,1518.262471
177,26737.74958,148.3,-0.405998796,1.789521451,-1.267730352,1516.99474
178,26738.92934,147.3,0.766343248,1.383418407,-0.880062128,1515.726439
179,26741.46249,147.3,0.765927851,2.15018632,-0.880458802,1514.84598
180,26744.76179,148.3,-0.409202433,2.916539218,-1.269445352,1513.965124
181,26747.06376,148.3,-0.410518711,2.507232254,-1.27001805,1512.695106
182,26748.95445,147.3,0.763939664,2.096608919,-0.881650972,1511.424515
183,26752.19719,147.3,0.763524285,2.860974782,-0.88204908,1510.542466
184,26756.20367,148.3,-0.4137287,3.624925652,-1.27173925,1509.660018
185,26759.20724,148.3,-0.415047547,3.211092042,-1.27231402,1508.387704
186,26761.79499,147.3,0.761534814,2.795939492,-0.883245563,1507.114815
187,26765.73346,147.3,0.761119455,3.557902048,-0.883645113,1506.23117
188,26770.43326,148.3,-0.418263914,4.319449633,-1.274041453,1505.347125
189,26774.12454,148.3,-0.419585339,3.90108043,-1.274618307,1504.072506
190,26777.39548,147.3,0.759128703,3.481389707,-0.884845933,1502.797311
191,26782.01579,147.3,0.758713368,4.240947705,-0.885246932,1501.912064
192,26787.39503,148.3,-0.422808108,5.000090757,-1.276352007,1501.026415
193,26791.76014,148.3,-0.424132122,4.577176977,-1.276930955,1499.749484
194,26795.70035,147.3,0.75672134,4.152939087,-0.886452113,1498.471974
195,26800.98859,147.3,0.756306031,4.910091282,-0.886854569,1497.585119
196,26807.03336,148.3,-0.42736132,5.666828559,-1.278670956,1496.697862
197,26812.05838,148.3,-0.428687933,5.239361184,-1.279252011,1495.41861
198,26816.65394,147.3,0.75431273,4.810567099,-0.888064134,1494.138776
199,26822.5962,147.3,0.753897451,5.565312252,-0.888468056,1493.250308
200,26829.29259,148.3,-0.431923583,6.31964252,-1.280998348,1492.361436
201,26834.96357,148.3,-0.433252805,5.887612495,-1.28158152,1491.079855
202,26840.20053,147.3,0.751902881,5.45425315,-0.889682029,1489.797689
203,26846.78287,147.3,0.751487634,6.206590032,-0.890087425,1488.907602
204,26854.11692,148.3,-0.436494935,6.958512062,-1.283334227,1488.017109
205,26860.41991,148.3,-0.437826776,6.521910296,-1.283919528,1486.733189
206,26866.28431,147.3,0.749491799,6.083976591,-0.89130583,1485.448684
207,26873.49275,147.3,0.749076587,6.833903977,-0.891712707,1484.556971
208,26881.4505,148.3,-0.441075411,7.583416549,-1.28567864,1483.664851
209,26888.37153,148.3,-0.442409882,7.142233917,-1.286266083,1482.378585
210,26894.84937,147.3,0.747079491,6.699716715,-0.892935569,1481.091731
211,26902.66994,147.3,0.746664318,7.447233388,-0.893343936,1480.198387
212,26911.2374,148.3,-0.445665047,8.194335289,-1.288031635,1479.304634
213,26918.76246,148.3,-0.447002158,7.748562627,-1.28862123,1478.016013
214,26925.83974,147.3,0.744665966,7.301452756,-0.894571279,1476.726802
215,26934.25843,147.3,0.744250834,8.046557507,-0.894981144,1475.831821
216,26943.42159,148.3,-0.450263879,8.791247529,-1.290393259,1474.936429
217,26951.53666,148.3,-0.451603641,8.34087564,-1.290985018,1473.645444
218,26959.19936,147.3,0.742251229,7.88916389,-0.896212993,1472.353867
219,26968.20213,147.3,0.741836142,8.631855517,-0.896624363,1471.457243
220,26977.94697,148.3,-0.454871946,9.374132461,-1.292763558,1470.560206
221,26986.63802,148.3,-0.456214368,8.919152109,-1.293357494,1469.266849
222,26994.87207,147.3,0.739835289,8.462829234,-0.897860743,1467.972897
223,27004.44489,147.3,0.739420249,9.203106542,-0.898273628,1467.074623
224,27014.75736,148.3,-0.459489282,9.942969218,-1.295142582,1466.175936
225,27024.01031,148.3,-0.460834376,9.483371129,-1.295738706,1464.880198
226,27032.80165,147.3,0.737418153,9.022427847,-0.899514564,1463.583862
227,27042.93044,147.3,0.737003164,9.760289649,-0.899928971,1462.683933
228,27053.79647,148.3,-0.464115926,10.49773687,-1.297530377,1461.78359
229,27063.59725,148.3,-0.465463701,10.03351174,-1.298128703,1460.485461
230,27072.93178,147.3,0.734999828,9.567938726,-0.901174488,1459.186733
231,27083.60246,147.3,0.734584893,10.30338384,-0.901590427,1458.285143
232,27095.00796,148.3,-0.468751914,11.03841444,-1.299926994,1457.383136
233,27105.34246,148.3,-0.470102383,10.56955291,-1.300527532,1456.082609
234,27115.20607,147.3,0.732580322,10.09934081,-0.90284055,1454.78148
235,27126.40453,147.3,0.732165445,10.83236807,-0.903258029,1453.878222
236,27138.33538,148.3,-0.473397285,11.56498087,-1.30233248,1452.974546
237,27149.18948,148.3,-0.474750457,11.09147356,-1.302935243,1451.671611
238,27159.56804,147.3,0.730159643,10.61661299,-0.904512784,1450.368072
239,27171.28013,147.3,0.729744826,11.34722122,-0.904931811,1449.46314
240,27183.72221,148.3,-0.478052076,12.07741506,-1.304746885,1448.557789
241,27195.08176,148.3,-0.479407962,11.59925256,-1.305351886,1447.252437
242,27205.96112,147.3,0.727737799,11.11973407,-0.906191224,1445.94648
243,27218.1727,147.3,0.727323046,11.84792213,-0.906611807,1445.039868
244,27231.11185,148.3,-0.482716324,12.57569585,-1.307170259,1444.132835
245,27242.96268,148.3,-0.484074935,12.09286869,-1.30777751,1442.825058
246,27254.32865,147.3,0.725314798,11.60868282,-0.907875904,1441.516673
247,27267.02555,147.3,0.724900113,12.33444955,-0.908298053,1440.608374
248,27280.44759,148.3,-0.487390069,13.05980202,-1.309602652,1439.699654
249,27292.77552,148.3,-0.488751416,12.5723007,-1.310212165,1438.389442
250,27304.6139,147.3,0.722890649,12.08343793,-0.90956686,1437.078619
251,27317.78192,147.3,0.722476033,12.80678221,-0.909990584,1436.168629
252,27331.67266,148.3,-0.492073349,13.52971228,-1.312044114,1435.258214
253,27344.46347,148.3,-0.493437443,13.03752727,-1.312655903,1433.945558
254,27356.76005,147.3,0.720465358,12.54397806,-0.911264127,1432.63229
255,27370.38497,147.3,0.720050817,13.26489873,-0.911689434,1431.720601
256,27384.73019,148.3,-0.496766202,13.98540529,-1.314494697,1430.808485
257,27397.96965,148.3,-0.498133054,13.48852701,-1.315108773,1429.493377
258,27410.71018,147.3,0.718038935,12.99028177,-0.91296774,1428.177653
259,27424.77777,147.3,0.717624472,13.70877772,-0.913394639,1427.264259
260,27439.56324,148.3,-0.501468667,14.42685965,-1.31695445,1426.350437
261,27453.2371,148.3,-0.502838288,13.92527848,-1.317570828,1425.032866
262,27466.40732,147.3,0.715611389,13.42232758,-0.914677734,1423.714678
263,27480.90332,147.3,0.715197006,14.1383977,-0.915106234,1422.799572
264,27496.11476,148.3,-0.506180784,14.85405388,-1.319423427,1421.884037
265,27510.20875,148.3,-0.507553185,14.34776017,-1.320042118,1420.563995
266,27523.79438,147.3,0.713182727,13.84009395,-0.916394147,1419.243333
267,27538.7045,147.3,0.712768429,14.55373714,-0.916824257,1418.326509
268,27554.32764,148.3,-0.510902591,15.26696646,-1.321901679,1417.409254
269,27568.82745,148.3,-0.512277784,14.75595052,-1.322522697,1416.086731
270,27582.81419,147.3,0.710752959,14.24355928,-0.918117013,1414.763587
271,27598.12413,147.3,0.710338749,14.95477443,-0.918548742,1413.845038
272,27614.14467,148.3,-0.515634129,15.66557581,-1.324389257,1412.926058
273,27629.03599,148.3,-0.517012124,15.1498279,-1.325012615,1411.601045
274,27643.4095,147.3,0.708322094,14.63270189,-0.919846369,1410.275408
275,27659.10494,147.3,0.707907975,15.34148792,-0.920279727,1409.355129
276,27675.50855,148.3,-0.520375437,16.04986027,-1.326886216,1408.434415
277,27690.77704,148.3,-0.521756247,15.52937063,-1.327511927,1407.106903
278,27705.52297,147.3,0.705890139,15.00750007,-0.921582253,1405.778765
279,27721.58956,147.3,0.705476116,15.7138559,-0.922017248,1404.856748
280,27738.36189,148.3,-0.525126556,16.41979814,-1.329392608,1403.934295
281,27753.99319,148.3,-0.526510191,15.89455695,-1.330020686,1402.604274
282,27769.09718,147.3,0.703457106,15.36793201,-0.923324701,1401.273625
283,27785.52056,147.3,0.703043182,16.07185657,-0.923761343,1400.349864
284,27802.64724,148.3,-0.529887526,16.77536764,-1.331908486,1399.425665
285,27818.62697,148.3,-0.531273998,16.24536504,-1.332538945,1398.093126
286,27834.07461,147.3,0.701023002,15.71397586,-0.92507375,1396.759956
287,27850.84039,147.3,0.700609181,16.41546809,-0.925512048,1395.834444
288,27868.30703,148.3,-0.534658387,17.11654694,-1.334433906,1394.908494
289,27884.62078,148.3,-0.536047707,16.58177305,-1.335066757,1393.573427
290,27900.39767,147.3,0.698587838,16.04560972,-0.926829438,1392.237727
291,27917.49143,147.3,0.698174123,16.74466857,-0.927269402,1391.310457
292,27935.28362,148.3,-0.53943918,17.44331414,-1.33696892,1390.382747
293,27951.91696,148.3,-0.540831361,16.90375902,-1.337604179,1389.045143
294,27968.00866,147.3,0.696151622,16.36281159,-0.928591803,1387.706903
295,27985.41597,147.3,0.695738017,17.05943602,-0.929033442,1386.77787
296,28003.51928,148.3,-0.544229947,17.75564729,-1.339513584,1385.848394
297,28020.45777,148.3,-0.545625,17.21130095,-1.340151264,1384.508243
298,28036.84982,147.3,0.693714364,16.66555945,-0.930360883,1383.167453
299,28054.55621,147.3,0.693300874,17.35974842,-0.930804207,1382.236649
300,28072.95618,148.3,-0.549030728,18.05352435,-1.342067953,1381.305401
301,28090.18534,148.3,-0.550428665,17.50437679,-1.342708068,1379.962693
302,28106.86326,147.3,0.691276075,16.95383117,-0.932136717,1378.619344
303,28124.85428,147.3,0.690862702,17.64558367,-0.932581735,1377.686763
304,28143.53643,148.3,-0.553841566,18.33692324,-1.344632083,1376.753735
305,28161.04177,148.3,-0.555242399,17.7829644,-1.345274647,1375.408461
306,28177.99105,147.3,0.688836763,17.2276046,-0.933919343,1374.062543
307,28196.25218,147.3,0.688423513,17.91691961,-0.934366065,1373.128177
308,28215.20201,148.3,-0.558662502,18.60582182,-1.347206029,1372.193364
309,28232.96902,148.3,-0.560066243,18.04704159,-1.347851057,1370.845513
310,28250.17514,147.3,0.68639644,17.4868575,-0.9357088,1369.497016
311,28268.69187,147.3,0.685983315,18.17373402,-0.936157236,1368.560859
312,28287.89485,148.3,-0.563493579,18.86019788,-1.349789849,1367.624253
313,28305.90898,148.3,-0.564900239,18.29658611,-1.350437353,1366.273815
314,28323.3574,147.3,0.683955115,17.73156757,-0.937505127,1364.92273
315,28342.11517,147.3,0.68354212,18.41600461,-0.937955287,1363.984774
316,28361.55677,148.3,-0.568334838,19.10002912,-1.352383599,1363.046369
317,28379.80347,148.3,-0.569744431,18.53157564,-1.353033595,1361.693335
318,28397.47961,147.3,0.681512798,17.96171246,-0.939308365,1360.339651
319,28416.46387,147.3,0.681099937,18.64370904,-0.939760259,1359.399891
320,28436.1295,148.3,-0.573186323,19.32529322,-1.354987336,1358.459678
321,28454.59419,148.3,-0.57459886,18.7519878,-1.355639838,1357.104038
322,28472.48345,147.3,0.6790695,18.17726973,-0.941118554,1355.747745
323,28491.67961,147.3,0.678656777,18.85682488,-0.941572191,1354.806173
324,28511.5547,148.3,-0.578048077,19.53596777,-1.357601119,1353.864147
325,28530.22277,148.3,-0.57946357,18.95780014,-1.358256141,1352.505891
326,28548.31054,147.3,0.676625232,18.3782169,-0.942935732,1351.146979
327,28567.70398,147.3,0.676212651,19.05532965,-0.943391124,1350.203588
328,28587.77391,148.3,-0.582920142,19.7320303,-1.360225005,1349.259741
329,28606.63073,148.3,-0.584338604,19.14899014,-1.360882562,1347.898858
